,close,open,high,low,volume
2023-02-28,4069.4587,4058.1298,4074.2639,4026.4476,11032359100.0
2023-02-27,4043.84,4040.46,4067.03,4034.52,9378763000.0
2023-02-24,4061.05,4100.99,4102.61,4048.24,10098942500.0
2023-02-23,4103.65,4106.21,4132.39,4088.21,10356490600.0
2023-02-22,4106.95,4118.97,4134.88,4101.86,10429029500.0
2023-02-21,4144.35,4130.06,4151.8,4116.27,14577617300.0
2023-02-20,4133.49,4039.96,4134.86,4035.48,16179448100.0
2023-02-17,4034.51,4086.22,4104.64,4032.93,11614258900.0
2023-02-16,4093.49,4125.41,4167.9,4068.86,15931058500.0
2023-02-15,4123.69,4146.85,4153.72,4115.97,12166450800.0
2023-02-14,4145.29,4151.25,4152.05,4125.26,10249989000.0
2023-02-13,4143.57,4098.88,4146.45,4092.27,12889257700.0
2023-02-10,4106.31,4124.1,4125.29,4092.35,9671673300.0
2023-02-09,4130.86,4067.56,4130.86,4064.75,10228996100.0
2023-02-08,4076.14,4099.86,4111.47,4072.65,8478609900.0
2023-02-07,4094.23,4098.31,4107.34,4077.96,9136007200.0
2023-02-06,4086.88,4103.83,4105.94,4065.22,11019271700.0
2023-02-03,4141.63,4162.03,4162.03,4103.17,11704122100.0
2023-02-02,4181.15,4207.41,4207.41,4170.56,13382373600.0
2023-02-01,4195.93,4170.13,4195.93,4137.77,14100895400.0
2023-01-31,4156.86,4200.58,4212.73,4153.05,12455083500.0
2023-01-30,4201.35,4267.62,4268.15,4197.86,16460706400.0
2023-01-20,4181.53,4166.84,4189.83,4161.67,12355380900.0
2023-01-19,4156.01,4125.58,4156.01,4105.98,9460839800.0
2023-01-18,4130.31,4140.1,4151.46,4125.77,8420064500.0
2023-01-17,4137.24,4138.84,4148.58,4118.16,9547904000.0
2023-01-16,4137.96,4077.88,4177.1,4076.64,15139545500.0
2023-01-13,4074.38,4032.29,4074.38,4027.89,9587189600.0
2023-01-12,4017.87,4021.75,4030.29,4003.51,9055262700.0
2023-01-11,4010.03,4019.88,4043.4,4008.02,9999788900.0
2023-01-10,4017.47,4014.71,4030.46,4002.23,10175114100.0
2023-01-09,4013.12,3998.53,4023.09,3990.71,11705442500.0
2023-01-06,3980.89,3969.55,4000.41,3966.47,11095303800.0
2023-01-05,3968.58,3913.49,3974.88,3912.26,11650239500.0
2023-01-04,3892.95,3886.25,3905.9,3873.65,11066074300.0
2023-01-03,3887.9,3864.84,3893.99,3831.25,11505187500.0
2022-12-30,3871.63,3873.94,3887.55,3868.76,78770.0
2022-12-29,3856.7,3854.24,3868.29,3838.48,79400.0
2022-12-28,3871.26,3874.91,3884.72,3854.94,84430.0
2022-12-27,3887.85,3860.91,3891.85,3856.58,77520.0
2022-12-26,3843.49,3830.57,3856.81,3827.52,73010.0
2022-12-23,3828.22,3811.62,3848.34,3805.95,65280.0
2022-12-22,3836.03,3859.2,3882.13,3821.34,83710.0
2022-12-21,3830.54,3839.0,3853.73,3821.4,64840.0
2022-12-20,3829.02,3881.23,3881.27,3811.48,83100.0
2022-12-19,3893.22,3952.77,3966.57,3878.44,106920.0
2022-12-16,3954.23,3931.23,3960.47,3929.49,93180.0
2022-12-15,3951.99,3954.67,3963.5,3926.5,88870.0
2022-12-14,3954.89,3952.79,3972.74,3935.77,98530.0
2022-12-13,3945.68,3953.55,3964.4,3939.98,100990.0
2022-12-12,3953.44,3976.17,3983.43,3950.32,125940.0
2022-12-09,3998.19,3961.99,4003.29,3944.44,153770.0
2022-12-08,3959.18,3953.2,3971.49,3941.3,115200.0
2022-12-07,3958.44,3956.67,3999.59,3944.18,143000.0
2022-12-06,3968.2,3929.01,3988.9,3923.0,155110.0
2022-12-05,3946.88,3907.64,3947.48,3900.67,201750.0
2022-12-02,3870.95,3886.4,3898.11,3865.88,116790.0
2022-12-01,3894.77,3921.3,3944.56,3893.87,169970.0
2022-11-30,3853.04,3836.56,3867.66,3833.83,157510.0
2022-11-29,3848.42,3766.57,3854.77,3766.57,178700.0
2022-11-28,3733.24,3701.9,3736.08,3672.13,127830.0
2022-11-25,3775.78,3751.28,3790.57,3743.41,142930.0
2022-11-24,3756.81,3791.54,3804.9,3751.38,101070.0
2022-11-23,3773.53,3760.22,3791.18,3753.21,144530.0
2022-11-22,3769.57,3766.08,3809.86,3751.04,144490.0
2022-11-21,3769.13,3769.63,3769.87,3734.0,95870.0
2022-11-18,3801.57,3823.82,3840.3,3801.57,115080.0
2022-11-17,3818.66,3821.27,3821.74,3776.57,105940.0
2022-11-16,3834.39,3860.81,3877.68,3829.31,120610.0
2022-11-15,3865.97,3788.93,3871.64,3775.5,151520.0
2022-11-14,3794.02,3818.14,3848.41,3781.78,169670.0
2022-11-11,3788.44,3787.76,3828.9,3747.09,189690.0
2022-11-10,3685.69,3685.83,3701.53,3665.06,103510.0
2022-11-09,3714.27,3750.78,3760.41,3711.27,89440.0
2022-11-08,3749.33,3773.66,3779.12,3723.34,99020.0
2022-11-07,3775.3,3754.52,3792.79,3746.37,129830.0
2022-11-04,3767.17,3646.77,3782.88,3646.77,149740.0
2022-11-03,3647.9,3645.06,3670.16,3628.5,110570.0
2022-11-02,3677.81,3620.37,3703.47,3610.8,141590.0
2022-11-01,3634.17,3519.82,3634.17,3517.62,149290.0
2022-10-31,3508.7,3504.51,3553.39,3495.95,138470.0
2022-10-28,3541.33,3605.16,3618.86,3533.5,118770.0
2022-10-27,3631.14,3667.66,3685.08,3631.06,118000.0
2022-10-26,3656.9,3633.31,3700.88,3633.31,121300.0
2022-10-25,3627.45,3621.94,3670.73,3594.7,110950.0
2022-10-24,3633.37,3727.92,3762.16,3619.99,130060.0
2022-10-21,3742.89,3753.89,3768.69,3724.69,98750.0
2022-10-20,3754.93,3746.58,3804.25,3726.79,90290.0
2022-10-19,3776.53,3827.47,3840.49,3776.53,81580.0
2022-10-18,3838.27,3865.83,3870.22,3831.17,88350.0
2022-10-17,3846.41,3822.24,3849.62,3809.12,104190.0
2022-10-14,3842.47,3783.32,3863.23,3780.84,116240.0
2022-10-13,3752.67,3756.42,3783.6,3749.64,99020.0
2022-10-12,3784.31,3722.87,3784.31,3661.53,108090.0
2022-10-11,3727.69,3732.02,3739.81,3706.06,83950.0
2022-10-10,3720.94,3806.56,3807.46,3715.71,102650.0
2022-09-30,3804.89,3833.35,3848.6,3801.28,78560.0
2022-09-29,3827.14,3864.32,3873.18,3808.65,85650.0
2022-09-28,3828.71,3879.44,3879.44,3828.05,86590.0
2022-09-27,3892.29,3844.07,3893.03,3827.93,88860.0
2022-09-26,3836.68,3829.6,3893.32,3827.95,104530.0
2022-09-23,3856.02,3865.1,3888.4,3829.69,94340.0
2022-09-22,3869.34,3875.18,3900.27,3860.23,80950.0
2022-09-21,3903.73,3921.32,3924.39,3884.23,86460.0
2022-09-20,3932.84,3945.65,3957.55,3921.69,84820.0
2022-09-19,3928.0,3928.42,3953.65,3910.31,97720.0
2022-09-16,3932.68,4013.58,4019.41,3932.68,137190.0
2022-09-15,4027.12,4078.65,4088.81,3998.86,123950.0
2022-09-14,4065.36,4058.04,4089.06,4047.92,90790.0
2022-09-13,4111.11,4112.01,4128.11,4097.14,111790.0
2022-09-09,4093.79,4050.59,4099.01,4042.25,118430.0
2022-09-08,4037.68,4059.17,4067.76,4036.02,100890.0
2022-09-07,4054.98,4032.72,4067.54,4028.37,107680.0
2022-09-06,4052.28,4024.47,4054.0,4009.58,113510.0
2022-09-05,4015.43,4010.41,4017.0,3982.74,93770.0
2022-09-02,4023.61,4054.84,4056.18,4004.91,86790.0
2022-09-01,4043.74,4066.19,4090.89,4041.13,97390.0
2022-08-31,4078.84,4057.14,4112.85,4046.62,132450.0
2022-08-30,4075.79,4088.53,4093.14,4048.52,93300.0
2022-08-29,4089.52,4063.88,4092.95,4059.6,94350.0
2022-08-26,4107.55,4127.81,4139.79,4102.68,99000.0
2022-08-25,4116.24,4093.29,4119.62,4058.75,111320.0
2022-08-24,4082.42,4168.58,4174.16,4079.09,119070.0
2022-08-23,4161.08,4175.53,4187.39,4147.41,103150.0
2022-08-22,4181.4,4135.16,4183.65,4134.2,112440.0
2022-08-19,4151.07,4174.55,4185.66,4151.07,117400.0
2022-08-18,4180.1,4205.79,4211.91,4173.54,101050.0
2022-08-17,4216.96,4182.57,4222.79,4155.17,112870.0
2022-08-16,4177.84,4190.53,4208.8,4170.52,93910.0
2022-08-15,4185.68,4180.0,4219.92,4174.3,105900.0
2022-08-12,4191.15,4185.42,4202.47,4175.05,106810.0
2022-08-11,4193.54,4130.74,4193.81,4116.06,121390.0
2022-08-10,4109.74,4149.21,4160.79,4092.55,85570.0
2022-08-09,4156.29,4143.67,4161.81,4131.43,84140.0
2022-08-08,4148.07,4142.11,4155.73,4135.08,90210.0
2022-08-05,4156.91,4109.63,4159.48,4097.86,102570.0
2022-08-04,4101.54,4089.44,4108.16,4064.66,89530.0
2022-08-03,4066.98,4114.83,4150.98,4058.18,116670.0
2022-08-02,4107.02,4144.38,4144.38,4071.43,142220.0
2022-08-01,4188.68,4160.65,4196.57,4129.45,107750.0
2022-07-29,4170.1,4226.42,4243.51,4160.87,114180.0
2022-07-28,4225.67,4242.27,4267.92,4223.03,107530.0
2022-07-27,4225.04,4236.15,4242.1,4217.28,78910.0
2022-07-26,4245.98,4220.09,4259.99,4214.53,85820.0
2022-07-25,4212.64,4233.93,4234.84,4201.92,83640.0
