,IC,IM
2022-11-01,5965.4,6471.0
2022-11-02,6001.4,6532.0
2022-11-03,6003.0,6563.4
2022-11-04,6156.2,6746.6
2022-11-07,6136.4,6711.8
2022-11-08,6144.8,6707.6
2022-11-09,6123.2,6674.8
2022-11-10,6106.0,6616.0
2022-11-11,6139.6,6645.0
2022-11-14,6126.4,6592.2
2022-11-15,6231.2,6753.0
2022-11-16,6206.4,6698.2
2022-11-17,6215.2,6715.2
2022-11-18,6215.6,6646.4
2022-11-21,6204.2,6685.0
2022-11-22,6136.6,6557.2
2022-11-23,6128.6,6553.4
2022-11-24,6133.4,6559.2
2022-11-25,6096.2,6497.0
2022-11-28,6074.8,6492.0
2022-11-29,6172.8,6597.0
2022-11-30,6163.8,6582.8
2022-12-01,6190.0,6662.0
2022-12-02,6176.0,6681.8
2022-12-05,6209.6,6703.0
2022-12-06,6214.6,6697.8
2022-12-07,6201.2,6695.2
2022-12-08,6192.2,6663.8
2022-12-09,6204.2,6684.8
2022-12-12,6169.6,6654.6
2022-12-13,6137.0,6604.8
2022-12-14,6104.0,6573.6
2022-12-15,6100.0,6600.6
2022-12-16,6052.8,6515.0
2022-12-19,5971.8,6417.0
2022-12-20,5897.4,6350.4
2022-12-21,5865.8,6302.2
2022-12-22,5802.0,6206.0
2022-12-23,5791.8,6165.2
2022-12-26,5860.6,6285.2
2022-12-27,5897.6,6336.2
2022-12-28,5882.4,6293.4
2022-12-29,5869.4,6269.2
2022-12-30,5870.8,6285.8
