,IC,IM
2022-11-01,5821.0,6317.0
2022-11-02,5952.4,6459.0
2022-11-03,5973.2,6493.0
2022-11-04,6005.2,6588.0
2022-11-07,6139.0,6731.4
2022-11-08,6125.2,6045.4
2022-11-09,6156.0,6700.4
2022-11-10,6106.4,6638.0
2022-11-11,6250.0,6800.0
2022-11-14,6180.0,6668.0
2022-11-15,6133.0,6595.0
2022-11-16,6237.2,6747.8
2022-11-17,6191.0,6682.4
2022-11-18,6228.2,6700.6
2022-11-21,6173.6,6606.2
2022-11-22,6200.0,6674.0
2022-11-23,6129.0,6563.0
2022-11-24,6158.2,6570.0
2022-11-25,6124.0,6545.2
2022-11-28,6013.0,6424.2
2022-11-29,6095.4,6502.0
2022-11-30,6162.8,6600.2
2022-12-01,6237.0,6656.0
2022-12-02,6182.0,6662.2
2022-12-05,6219.8,6729.0
2022-12-06,6200.2,6690.2
2022-12-07,6205.0,6689.8
2022-12-08,6205.2,6701.4
2022-12-09,6197.4,6666.0
2022-12-12,6194.8,6678.0
2022-12-13,6172.4,6659.8
2022-12-14,6139.2,6615.0
2022-12-15,6099.0,6564.8
2022-12-16,6082.8,6581.0
2022-12-19,6087.8,6524.0
2022-12-20,5956.4,6403.0
2022-12-21,5904.8,6356.0
2022-12-22,5889.8,6327.8
2022-12-23,5787.0,6182.0
2022-12-26,5796.4,6172.2
2022-12-27,5907.4,6305.0
2022-12-28,5887.0,6310.0
2022-12-29,5871.0,6279.8
2022-12-30,5885.0,6290.2
